nodo_id,tipo,nombre,grado,grado_ponderado,pagerank,betweenness_gc,closeness_gc
UC0RpuMwkDKJYqgKHtsJRuWQ,autor,@sabinamarinaguerra3248,1,1,0.0015921333404745244,0.0,0.0
UC-HeUTT6_g-VoiWds2a4H-w,autor,@JorgeMunoz-gd9et,1,1,0.0012314659094801788,0.0,0.16285714285714287
UC2Y_EHWQKevubk4vOEBBFxw,autor,@alfonsomorales2653,1,1,0.0013102170967186151,0.0,0.27246653919694075
UCwEe1RKlEv1UpNWmWYfSh4w,autor,@marioramirez299,1,1,0.0015133016567510666,0.0,0.15175718849840256
UCQtICyzWmhC5woCtbNgaSmg,autor,@nestormendez6216,1,2,0.0021930837660868027,0.0,0.27246653919694075
UCDlr1VadSucIZgZ171pRBjQ,autor,@cuabatzjj5924,1,1,0.0013102170967186151,0.0,0.27246653919694075
UCxKR3RA8T-kxMgq_2WWhRcQ,autor,@elenaluarca9377,1,1,0.0015921333404745244,0.0,0.0
UCJxJC56BSAX-ArD0NAb9qnQ,autor,@alfonsowilian9157,1,1,0.002194383313311013,0.0,0.0
UCqilIa8r7iek5sGYg_q6ofA,autor,@rolandojuchuna484,1,1,0.0015921333404745244,0.0,0.0
UCyor0Mmm0ivLX2jIdyGp84Q,autor,@MiguelJordan-n3g,1,1,0.002194383313311013,0.0,0.0
UCpe5jW3MIqkgTJ-PgkzvM6Q,autor,@carloslam5333,1,1,0.0015012876402744307,0.0,0.21396396396396397
UCz3gu01bmjNv0DpRq-K3XYg,autor,@eusebiovasquez4385,1,2,0.0021930837660868027,0.0,0.27246653919694075
UCuXmOjxC-htcprLgeVXz6Tg,autor,@jorgeaguilar-bq3uj,1,1,0.0015012876402744307,0.0,0.21396396396396397
UCySYJU5kUh7X8gVt9la2ISA,autor,@dantesarti4351,1,1,0.0013102170967186151,0.0,0.27246653919694075
UCHTGCgY2l-DQJIvlA_cpa_Q,autor,@virgiliogarcia3039,2,3,0.003039314373625415,0.34949345193970843,0.3104575163398693
UCPNXmbOBVeC4HS-xemvcPtQ,autor,@BelkisRodriguezRamirez,1,1,0.0012806576023992745,0.0,0.0
UCtUR3_CAiE7fCoZHM6cMfyQ,autor,@mdelcid01,1,1,0.0013102170967186151,0.0,0.27246653919694075
UCGj2v6Gl5bN8NSrzJMXS-CA,autor,@juliogutierrez492,1,1,0.0015691590271952158,0.0,0.15015806111696522
UCbrtvygfRT6QXqWDNrOf-cA,autor,@Alejandro00710,2,2,0.0024537677371217776,0.09747961452928096,0.21079881656804733
UCOh6DaZC_x9HASnlRylEMfw,autor,@AndresMedina-v1s,1,1,0.0013102170967186151,0.0,0.27246653919694075
UCL1MT278vSaQ83ZDkVWn1gw,autor,@elmorodriguez6978,1,1,0.0013102170967186151,0.0,0.27246653919694075
UC8G5cJONY8L9voMyBW8Eoug,autor,@luisparedes-pw6qt,1,1,0.0013102170967186151,0.0,0.27246653919694075
UC7VUuJr9cGh845CmTvf7TlQ,autor,@LuisCastillo-oz4df,1,1,0.0013102170967186151,0.0,0.27246653919694075
UCFhxtoeARHPnXXPcDrOU3Xg,autor,@diegoalejandrolopezmendez205,1,1,0.0013102170967186151,0.0,0.27246653919694075
UCAlzM_N6xBlMYmM8EBzX86Q,autor,@carlossoto3252,1,1,0.0013102170967186151,0.0,0.27246653919694075
UClqA491Xa5fQcXcJJa-vTWw,autor,@AndresLemus-k2d,1,1,0.0015012876402744307,0.0,0.21396396396396397
UCvDwJBBY1mHK70aTEYl6rsA,autor,@cristianescobedo8296,1,1,0.0012314659094801788,0.0,0.16285714285714287
UCWWkebAekppaL5b5CNlppuw,autor,@ninettmartinez425,1,1,0.0019761768014137345,0.0,0.0
UCjmPuazZJzscrwvk0QR9RVw,autor,@mynorrodas8591,1,1,0.0013102170967186151,0.0,0.27246653919694075
UCipetjeiWj4CZB6EbyYziZg,autor,@OseasSamayoa-ol5rz,1,1,0.0013102170967186151,0.0,0.27246653919694075
UCZIQnb1fkwe39Iw2TAu-bGA,autor,@jorgegomez2237,1,1,0.0015691590271952158,0.0,0.15015806111696522
UCTP3O0rMnc8z8v8jaDQwL0w,autor,@RobertoZelaya-x1v,1,1,0.0013102170967186151,0.0,0.27246653919694075
UCsUCN0Yq_UyTvKjOJLmNrnQ,autor,@moisesvaldez4043,2,2,0.0024773446736437695,0.04808500123548307,0.2761627906976744
UC3UVO7pTbeYvZ3ILEyRDskQ,autor,@rosaelenaargueta79,1,1,0.0015012876402744307,0.0,0.21396396396396397
UCuP4UK33HKtJE_S39ksmaTw,autor,@herbertaguilar1387,1,1,0.0012735810348890398,0.0,0.20955882352941177
UClsrFGJKWPxxw7MiaEdKLXw,autor,@ericapaz5406,1,1,0.0012735810348890398,0.0,0.20955882352941177
UCg3eIfd7BrsLEqS0BLkftHA,autor,@ErmePérez-q4s,1,3,0.0029660422499662637,0.0,0.20955882352941177
UCq3mDTTRZnUybct5M9OSXbg,autor,@MacoMorales-i2i2d,1,1,0.0014900677837631298,0.0,0.12566137566137567
UCGzXwyCzMzGmjmCbH3Hg01Q,autor,@FidelZacarias-ph7dy,1,1,0.0013102170967186151,0.0,0.27246653919694075
UC0HvfEWozTHbwl_iEmJNvVA,autor,@OttoPalencia-b7r,1,1,0.0012314659094801788,0.0,0.16285714285714287
UC14qlobYKqD-DO0j6b75lcA,autor,@megavision4488,1,1,0.0012314659094801788,0.0,0.16285714285714287
UCiGRBf2RNF0WRKhRVT7zFoA,autor,@edwinavila4876,1,1,0.0013102170967186151,0.0,0.27246653919694075
UCa36MjQLoPAmgJo-R3G8WQA,autor,@elsasalguero6914,1,1,0.0012314659094801788,0.0,0.16285714285714287
UC3YpzAr7pcdKC7BVFEpYzog,autor,@carmenfigueroa1232,1,1,0.0012314659094801788,0.0,0.16285714285714287
UCQqlPPUGqAfWjd-FSh_qn7Q,autor,@estuardoargueta137,1,1,0.0015012876402744307,0.0,0.21396396396396397
UC8r11yOugM2NuRfitQOxLLg,autor,@cesaraugustomoralesmonroy6907,1,1,0.0013102170967186151,0.0,0.27246653919694075
UCusjriFsDHEc2AOjqk-p5ig,autor,@pablobarrios7931,1,1,0.0012735810348890398,0.0,0.20955882352941177
UC5fvhAfm89JH8eDFdvc0xYw,autor,@isaidiaz2388,1,1,0.0015921333404745244,0.0,0.0
UCAV7QIjYhbDJaycQycM_0eQ,autor,@mariavail8998,1,1,0.0012735810348890398,0.0,0.20955882352941177
UC3E9mAgP7VoAE5mZoAexl5g,autor,@EnnioAroche,1,1,0.0013102170967186151,0.0,0.27246653919694075
UCB5p8a5gklc80jJItP6xTHg,autor,@ernestogamboa8737,1,1,0.0013102170967186151,0.0,0.27246653919694075
UC1NiEdJ7gk6FlDexIalWnGg,autor,@BorisTebalán,1,1,0.0012314659094801788,0.0,0.16285714285714287
UCdQAuWwyC99MB7Y02Umj26Q,autor,@miguelbran1268,1,1,0.0015133016567510666,0.0,0.15175718849840256
UCtowGNY2lnlg6O2CkwDgkLg,autor,@taniagabrielacelis8434,1,1,0.0018670735454650957,0.0,0.0
UCp_dAUfv8i3LW3zWc24dLaQ,autor,@MarioCortez-o6v,1,1,0.0012806576023992745,0.0,0.0
