nodo_id,nombre_visible,handle,total_likes_recibidos,total_replies_recibidas,tipo,channel_id,category,view_count
PjmxCj-a9Hg,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,,,video,UC-ZtFBHzgkYFh7whZkuR_Ag,Entertainment,3628.0
TT4qJ5FXHYE,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",Quorum,,,video,UCE4rsXcgDb6e1-a9iTbWzfg,News & Politics,1075.0
UhL9y3KUl8E,SHAI WA: la vecina queer de Casa Presidencial,Quorum,,,video,UCE4rsXcgDb6e1-a9iTbWzfg,News & Politics,1755.0
WIUZtitfLRw,Caminar en una ciudad hecha para carros,Quorum,,,video,UCE4rsXcgDb6e1-a9iTbWzfg,News & Politics,422.0
X_FAIef8qlE,Cruzando la ciudad a puro Transmetro,Quorum,,,video,UCE4rsXcgDb6e1-a9iTbWzfg,News & Politics,1140.0
b_Hkrkl3adA,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial,,,video,UCEepOY2svuxbsJ-zsAPT9Fg,News & Politics,5469.0
is3Mk5oC19g,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,TN23 Guatemala,,,video,UCt5Dw7ePnn0AqPqRF8Xpjkw,News & Politics,4616.0
j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum,,,video,UCE4rsXcgDb6e1-a9iTbWzfg,News & Politics,10156.0
lj983NWyAQY,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,,,video,UCXa6LVjBzUtmcM3cwbd9e2w,News & Politics,304089.0
n8iP75gIpmw,Qué rico come tu diputado,Quorum,,,video,UCE4rsXcgDb6e1-a9iTbWzfg,News & Politics,11775.0
ndAZjHqzzT8,Internet: escoger el menos malo,Quorum,,,video,UCE4rsXcgDb6e1-a9iTbWzfg,News & Politics,717.0
s0eco-BofOs,¿Quiénes pagan más en Centroamérica?,Quorum,,,video,UCE4rsXcgDb6e1-a9iTbWzfg,News & Politics,220.0
yLZS3JiEBg8,Arroz con pollo a la MONOPOLIO,Quorum,,,video,UCE4rsXcgDb6e1-a9iTbWzfg,News & Politics,1954.0
zweosulrwA8,Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,Quorum,,,video,UCE4rsXcgDb6e1-a9iTbWzfg,Nonprofits & Activism,52.0
